panel,spec,label,uptake,step,value_Mt,n_countries,population_2022,per_capita_t,per_capita_kg
A_1yr_no_mortality,baseline_p10_ci,All foods P10 CI,mod_uptake,manufacturing,0.6970286943713602,53,1208896546.5,0.0005765825838359777,0.5765825838359776
A_1yr_no_mortality,baseline_p10_ci,All foods P10 CI,mod_uptake,net_savings,11.941061399631442,53,1208896546.5,0.009877653662096421,9.877653662096423
B_10yr_with_survivorship,baseline_p10_ci,All foods P10 CI,mod_uptake,naive_reductions,246.22397761276463,40,1184637982.0,0.20784744483464032,207.8474448346403
B_10yr_with_survivorship,baseline_p10_ci,All foods P10 CI,mod_uptake,rebound_effect,126.46517572581904,40,1184637982.0,0.10675428075698744,106.75428075698744
B_10yr_with_survivorship,baseline_p10_ci,All foods P10 CI,mod_uptake,actual_food_savings,119.75880188694559,40,1184637982.0,0.10109316407765287,101.09316407765287
B_10yr_with_survivorship,baseline_p10_ci,All foods P10 CI,mod_uptake,survivorship,111.21558266167312,40,1184637982.0,0.09388149320850758,93.88149320850758
B_10yr_with_survivorship,baseline_p10_ci,All foods P10 CI,mod_uptake,manufacturing,6.521615822057919,40,1184637982.0,0.005505155094763727,5.505155094763726
B_10yr_with_survivorship,baseline_p10_ci,All foods P10 CI,mod_uptake,net_savings,2.021603403214542,40,1184637982.0,0.001706515774381563,1.706515774381563
A_1yr_no_mortality,baseline_p90_ci,All foods P90 CI,max_uptake,naive_reductions,211.77204162117076,53,1208896546.5,0.17517796889592716,175.17796889592714
A_1yr_no_mortality,baseline_p90_ci,All foods P90 CI,max_uptake,rebound_effect,110.65343360474522,53,1208896546.5,0.09153259137443091,91.53259137443092
A_1yr_no_mortality,baseline_p90_ci,All foods P90 CI,max_uptake,actual_food_savings,101.11860801642554,53,1208896546.5,0.08364537752149624,83.64537752149624
A_1yr_no_mortality,baseline_p90_ci,All foods P90 CI,max_uptake,manufacturing,1.3326121641356403,53,1208896546.5,0.0011023376383974476,1.1023376383974475
A_1yr_no_mortality,baseline_p90_ci,All foods P90 CI,max_uptake,net_savings,99.7859958522899,53,1208896546.5,0.0825430398830988,82.5430398830988
B_10yr_with_survivorship,baseline_p90_ci,All foods P90 CI,max_uptake,naive_reductions,1997.153013047173,40,1184637982.0,1.685876228343971,1685.876228343971
B_10yr_with_survivorship,baseline_p90_ci,All foods P90 CI,max_uptake,rebound_effect,1038.213189388195,40,1184637982.0,0.8763970134026944,876.3970134026944
B_10yr_with_survivorship,baseline_p90_ci,All foods P90 CI,max_uptake,actual_food_savings,958.9398236589782,40,1184637982.0,0.8094792149412766,809.4792149412767
B_10yr_with_survivorship,baseline_p90_ci,All foods P90 CI,max_uptake,survivorship,368.813920280211,40,1184637982.0,0.3113304873591424,311.3304873591424
B_10yr_with_survivorship,baseline_p90_ci,All foods P90 CI,max_uptake,manufacturing,12.477086478018869,40,1184637982.0,0.010532404555317447,10.532404555317449
B_10yr_with_survivorship,baseline_p90_ci,All foods P90 CI,max_uptake,net_savings,577.6488169007483,40,1184637982.0,0.4876163230268168,487.6163230268168
A_1yr_no_mortality,baseline_p90_ci,All foods P90 CI,mod_uptake,naive_reductions,108.82266316445735,53,1208896546.5,0.09001817688992575,90.01817688992575
A_1yr_no_mortality,baseline_p90_ci,All foods P90 CI,mod_uptake,rebound_effect,57.024438571104156,53,1208896546.5,0.047170652225123344,47.17065222512335
A_1yr_no_mortality,baseline_p90_ci,All foods P90 CI,mod_uptake,actual_food_savings,51.7982245933532,53,1208896546.5,0.042847524664802406,42.8475246648024
A_1yr_no_mortality,baseline_p90_ci,All foods P90 CI,mod_uptake,manufacturing,0.6970286943713602,53,1208896546.5,0.0005765825838359777,0.5765825838359776
