run,scenario,baseline_food_emissions_mt,total_annual_food_savings_mt,cum_food_to_survivor_ratio_10yr,annual_food_to_survivor_ratio_y10
original,max_uptake,11858.008447667,116.06431799055066,5.416382353146197,2.903712079715493
original,mod_uptake,11858.008447667,59.425462666445384,5.22534748313237,2.809209197978356
fix1,max_uptake,6908.551526849,68.50053024607318,3.1745334645023044,1.7018612363992396
fix1,mod_uptake,6908.551526849,35.07683895281112,3.0625150272080313,1.6464446452893997
fix1_fix2,max_uptake,6504.306528900999,64.23631245999987,2.9726966126814287,1.593656891404359
fix1_fix2,mod_uptake,6504.306528900999,32.891116846673555,2.8674986598688696,1.5416015176976063
